resume_text,cleaned_resume,gender,gender_encoded,label
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,male,1,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,female,0,1
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,male,1,0
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,0
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,female,0,0
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,0
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,1
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,male,1,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,1
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,female,0,0
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,female,0,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,male,1,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,male,1,0
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,female,0,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,male,1,1
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,1
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,0
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,female,0,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,0
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,female,0,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,0
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,male,1,1
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,female,0,0
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,male,1,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,female,0,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,male,1,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,female,0,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,male,1,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,1
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,0
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,male,1,1
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,male,1,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,male,1,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,1
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,female,0,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,male,1,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,female,0,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,female,0,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,0
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,female,0,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,1
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,female,0,0
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,female,0,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,1
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,female,0,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,0
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,female,0,1
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,female,0,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,female,0,0
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,female,0,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,1
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,1
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,female,0,1
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,female,0,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,0
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,female,0,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,0
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,0
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,male,1,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,1
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,female,0,1
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,female,0,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,male,1,0
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,female,0,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,1
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,male,1,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,1
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,0
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,1
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,1
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,female,0,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,female,0,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,male,1,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,1
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,1
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,1
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,male,1,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,1
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,male,1,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,0
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,male,1,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,1
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,0
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,female,0,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,female,0,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,1
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,female,0,1
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,0
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,female,0,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,female,0,1
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,0
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,female,0,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,1
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,1
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,1
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,male,1,1
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,male,1,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,female,0,0
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,male,1,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,male,1,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,male,1,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,0
Project manager experienced in agile methodologies.,project manager experienced in agile methodologies,male,1,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,male,1,0
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,0
Fresh graduate seeking opportunities in AI research.,fresh graduate seeking opportunities in ai research,male,1,1
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,0
Senior HR manager with 10 years of recruitment expertise.,senior hr manager with 10 years of recruitment expertise,male,1,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,female,0,0
Marketing specialist trained in digital campaigns.,marketing specialist trained in digital campaigns,female,0,1
Experienced software engineer skilled in Python and ML.,experienced software engineer skilled in python and ml,female,0,0
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,1
Entry-level data analyst with internship experience.,entry level data analyst with internship experience,male,1,0
